flow_no,channel,priority,field1,field2,field3,field4,field5,field6
OBCCI,SMS,1,,,,,
OBCCI,LINE,2,,,,,,
OBCCI,Email,3,,,,,
OBCCI,APP,4,,,,,,
OBCCE,SMS,1,,,,,
OBCCE,LINE,2,,,,,,
OBCCE,Email,3,,,,,
OBCCE,APP,4,,,,,,
OBCCA,SMS,1,,,,,
OBCCA,LINE,2,,,,,,
OBCCA,Email,3,,,,,
OBCCA,APP,4,,,,,,
OBCCL,SMS,1,,,,,
OBCCL,LINE,2,,,,,,
OBCCL,Email,3,,,,,
OBCCL,APP,4,,,,,,
OBCSI,SMS,1,,,,,
OBCSI,LINE,2,,,,,,
OBCSI,Email,3,,,,,
OBCSI,APP,4,,,,,,
OBFMS,SMS,1,,,,,
OBFMS,LINE,2,,,,,,
OBFMS,Email,3,,,,,
OBFMS,APP,4,,,,,,
